,Date,states,Lst_price,sret,mkt_cret,Ticker
830,2019-05-16,0,1.2798,-0.0036657218445783407,-0.13685645699689078,GBPUSD
831,2019-05-17,0,1.2724,-0.005798934830370853,-0.14265539182726164,GBPUSD
832,2019-05-20,0,1.2726,0.0001571709237027232,-0.14249822090355893,GBPUSD
833,2019-05-21,0,1.2706,-0.0015728219662589208,-0.14407104286981784,GBPUSD
834,2019-05-22,0,1.2665,-0.0032320393907029348,-0.14730308226052077,GBPUSD
835,2019-05-23,0,1.2657,-0.0006318616433272145,-0.14793494390384798,GBPUSD
836,2019-05-24,0,1.2714,0.004493326703905823,-0.14344161719994217,GBPUSD
837,2019-05-28,0,1.2653,-0.004809407307090369,-0.14825102450703254,GBPUSD
838,2019-05-29,0,1.2626,-0.0021361612616928307,-0.15038718576872537,GBPUSD
839,2019-05-30,0,1.2608,-0.0014266468299105684,-0.15181383259863593,GBPUSD
840,2019-05-31,0,1.2629,0.0016642235485098095,-0.15014960905012611,GBPUSD
841,2019-06-03,0,1.2664,0.002767565914677968,-0.14738204313544814,GBPUSD
842,2019-06-04,0,1.2698,0.002681178169547281,-0.14470086496590087,GBPUSD
843,2019-06-05,0,1.2687,-0.000866653589796996,-0.14556751855569786,GBPUSD
844,2019-06-06,0,1.2694,0.0005515937258171549,-0.1450159248298807,GBPUSD
845,2019-06-07,0,1.2737,0.003381702723344064,-0.14163422210653664,GBPUSD
846,2019-06-10,0,1.2685,-0.004090950556377311,-0.14572517266291396,GBPUSD
847,2019-06-11,0,1.2725,0.0031483693853412865,-0.14257680327757266,GBPUSD
848,2019-06-12,0,1.2689,-0.0028330860218089876,-0.14540988929938164,GBPUSD
849,2019-06-13,0,1.2674,-0.001182825513452166,-0.1465927148128338,GBPUSD
850,2019-06-14,0,1.2589,-0.006729234117203181,-0.153321948930037,GBPUSD
851,2019-06-17,0,1.2534,-0.004378464981638313,-0.15770041391167533,GBPUSD
852,2019-06-18,0,1.2558,0.0019129608894338486,-0.15578745302224148,GBPUSD
853,2019-06-19,0,1.2639,0.006429358973071441,-0.14935809404917003,GBPUSD
854,2019-06-20,0,1.2702,0.004972189715793967,-0.14438590433337606,GBPUSD
855,2019-06-21,0,1.2737,0.002751682226839277,-0.14163422210653678,GBPUSD
856,2019-06-24,0,1.2743,0.000470957622519546,-0.14116326448401723,GBPUSD
857,2019-06-25,0,1.2689,-0.0042466248153645875,-0.1454098892993818,GBPUSD
858,2019-06-26,0,1.269,7.88053115187764e-05,-0.14533108398786304,GBPUSD
859,2019-06-27,0,1.2674,-0.001261630824970957,-0.146592714812834,GBPUSD
860,2019-06-28,0,1.2696,0.001734332322782721,-0.14485838249005129,GBPUSD
861,2019-07-01,0,1.2641,-0.004341483710687388,-0.14919986620073866,GBPUSD
862,2019-07-02,0,1.2593,-0.0038043954897111045,-0.15300426169044976,GBPUSD
863,2019-07-03,0,1.2574,-0.0015099140628399904,-0.15451417575328974,GBPUSD
864,2019-07-05,0,1.2521,-0.004223955274058786,-0.15873813102734852,GBPUSD
865,2019-07-08,0,1.2515,-0.00047930980307308966,-0.1592174408304216,GBPUSD
866,2019-07-09,0,1.2465,-0.004003207908216468,-0.16322064873863806,GBPUSD
867,2019-07-10,0,1.2502,0.0029639145340994216,-0.16025673420453865,GBPUSD
868,2019-07-11,0,1.2521,0.0015186031771900596,-0.1587381310273486,GBPUSD
869,2019-07-12,0,1.2572,0.004064884248510534,-0.15467324677883806,GBPUSD
870,2019-07-15,0,1.2516,-0.004464293128685493,-0.15913753990752355,GBPUSD
871,2019-07-16,0,1.2407,-0.008746996345901368,-0.16788453625342492,GBPUSD
872,2019-07-17,0,1.2433,0.002093398510066058,-0.16579113774335885,GBPUSD
873,2019-07-18,0,1.2549,0.009286753157370344,-0.1565043845859885,GBPUSD
874,2019-07-19,0,1.2502,-0.0037523496185503527,-0.16025673420453887,GBPUSD
875,2019-07-22,0,1.2476,-0.0020818327640636817,-0.16233856696860255,GBPUSD
876,2019-07-23,0,1.244,-0.0028897114345235353,-0.1652282784031261,GBPUSD
877,2019-07-24,0,1.2484,0.0035307370974995544,-0.16169754130562655,GBPUSD
878,2019-07-25,0,1.2458,-0.0020848375765791394,-0.1637823788822057,GBPUSD
879,2019-07-26,0,1.2384,-0.00595766998458251,-0.1697400488667882,GBPUSD
880,2019-07-29,0,1.2219,-0.01341319951298605,-0.18315324837977426,GBPUSD
881,2019-07-30,0,1.2152,-0.00549835204091347,-0.18865160042068774,GBPUSD
882,2019-07-31,0,1.2159,0.000575871020809439,-0.1880757293998783,GBPUSD
883,2019-08-01,0,1.2128,-0.002552807414265257,-0.19062853681414355,GBPUSD
